year,total_gross,total_tickets_sold,summary,title
2018,10851600,1187300,Seasoned musician Jackson Maine discovers -- and falls in love with -- struggling artist Ally. She has just about given up on her dream to make it big as a singer until Jackson coaxes her into the spotlight. But even as Ally's career takes off the personal side of their relationship is breaking down as Jackson fights an ongoing battle with his own internal demons.,A Star Is Born
2016,11377500,1315300,A teenage boy and girl embark on a quest to meet each other for the first time after they magically swap bodies.,Your Name
2015,11129400,1320200,"While racing toward the town of Red Rock in post-Civil War Wyoming bounty hunter John ""The Hangman"" Ruth (Kurt Russell) and his fugitive prisoner (Jennifer Jason Leigh) encounter another bounty hunter (Samuel L. Jackson) and a man who claims to be a sheriff. Hoping to find shelter from a blizzard the group travels to a stagecoach stopover located on a mountain pass. Greeted there by four strangers the eight travelers soon learn that they may not make it to their destination after all.",The Hateful Eight
2012,10837600,1361500,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,The Avengers
2010,10565600,1339100,As bass guitarist for a garage-rock band Scott Pilgrim (Michael Cera) has never had trouble getting a girlfriend; usually the problem is getting rid of them. But when Ramona Flowers (Mary Elizabeth Winstead) skates into his heart he finds she has the most troublesome baggage of all: an army of ex-boyfriends who will stop at nothing to eliminate him from her list of suitors.,Scott Pilgrim vs. the World
2005,8840500,1379200,Following world war London is a police state occupied by a fascist government and a vigilante known only as V (Hugo Weaving) uses terrorist tactics to fight the oppressors of the world in which he now lives. When V saves a young woman named Evey (Natalie Portman) from the secret police he discovers an ally in his fight against England's oppressors.,V for Vendetta
2003,9239700,1532300,A former assassin known simply as The Bride (Uma Thurman) wakes from a coma four years after her jealous ex-lover Bill (David Carradine) attempts to murder her on her wedding day. Fueled by an insatiable desire for revenge she vows to get even with every person who contributed to the loss of her unborn child her entire wedding party and four years of her life. After devising a hit list The Bride sets off on her quest enduring unspeakable injury and unscrupulous enemies.,Kill Bill: Vol. 1
1998,6949000,1480700,Fearful that her ailing father will be drafted into the Chinese military Mulan (Ming-Na Wen) takes his spot -- though as a girl living under a patriarchal regime she is technically unqualified to serve. She cleverly impersonates a man and goes off to train with fellow recruits. Accompanied by her dragon Mushu (Eddie Murphy) she uses her smarts to help ward off a Hun invasion falling in love with a dashing captain along the way.,Mulan
1994,596200,1291700,"Vincent Vega (John Travolta) and Jules Winnfield (Samuel L. Jackson) are hitmen with a penchant for philosophical discussions. In this ultra-hip multi-strand crime movie their storyline is interwoven with those of their boss gangster Marsellus Wallace (Ving Rhames) ; his actress wife Mia (Uma Thurman) ; struggling boxer Butch Coolidge (Bruce Willis) ; master fixer Winston Wolfe (Harvey Keitel) and a nervous pair of armed robbers ""Pumpkin"" (Tim Roth) and ""Honey Bunny"" (Amanda Plummer).",Pulp Fiction
1988,4458400,1084800,Veronica (Winona Ryder) is part of the most popular clique at her high school but she disapproves of the other girls' cruel behavior. When Veronica and her new boyfriend J.D. (Christian Slater) confront clique leader Heather Chandler (Kim Walker) and accidentally poison her they make it appear a suicide. Soon Veronica realizes that J.D. is intentionally killing students he does not like. She races to stop J.D. while also clashing with the clique's new leader Heather Duke (Shannen Doherty).,Heathers
1977,3453000,1175000,The Imperial Forces -- under orders from cruel Darth Vader (David Prowse) -- hold Princess Leia (Carrie Fisher) hostage in their efforts to quell the rebellion against the Galactic Empire. Luke Skywalker (Mark Hamill) and Han Solo (Harrison Ford) captain of the Millennium Falcon work together with the companionable droid duo R2-D2 (Kenny Baker) and C-3PO (Anthony Daniels) to rescue the beautiful princess help the Rebel Alliance and restore freedom and justice to the Galaxy.,Star Wars: Episode IV - A New Hope
1975,2966000,1067000,When a young woman is killed by a shark while skinny-dipping near the New England tourist town of Amity Island police chief Martin Brody (Roy Scheider) wants to close the beaches but mayor Larry Vaughn (Murray Hamilton) overrules him fearing that the loss of tourist revenue will cripple the town. Ichthyologist Matt Hooper (Richard Dreyfuss) and grizzled ship captain Quint (Robert Shaw) offer to help Brody capture the killer beast and the trio engage in an epic battle of man vs. nature.,Jaws
1972,2749000,1022000,Widely regarded as one of the greatest films of all time this mob drama based on Mario Puzo's novel of the same name focuses on the powerful Italian-American crime family of Don Vito Corleone (Marlon Brando). When the don's youngest son Michael (Al Pacino) reluctantly joins the Mafia he becomes involved in the inevitable cycle of violence and betrayal. Although Michael tries to maintain a normal relationship with his wife Kay (Diane Keaton) he is drawn deeper into the family business.,The Godfather