title,year,genre,length,language,rated,director,director_dob,company_name
Jaws,1975,Adventure,130,English,PG,Steven Speilberg,12/18/1946,Universal Pictures
The Godfather,1972,Drama,178,English,R,Francis Ford Coppola,4/7/1939,Paramount Pictures
Kill Bill: Vol. 1,2003,Action,111,English,R,Quentin Tarantino,3/27/1963,Miramax
The Hateful Eight,2015,Thriller,167,English,R,Quentin Tarantino,3/27/1963,Visiona Romantica
Pulp Fiction,1994,Drama,154,English,R,Quentin Tarantino,3/27/1963,Miramax
V for Vendetta,2005,Thriller,132,English,R,James McTeigue,12/29/1967,Warner Bros. Pictures
Star Wars: Episode IV - A New Hope,1977,Adventure,121,English,PG,George Lucas,5/14/1944,Lucasfilm
Train to Busan,2016,Horror,118,Korean,TV-MA,Sang-ho Yeon,5/31/1905,Next Entertainment World
Scott Pilgrim vs. the World,2010,Comedy,112,English,PG-13,Edgar Wright,4/18/1974,Universal Pictures
Mulan,1998,Animation,88,English,G,Tony Bancroft,7/31/1967,Walt Disney Feature Animation
Heathers,1988,Comedy,103,English,R,Michael Lehmann,3/30/1957,New World Pictures
The Avengers,2012,Action,143,English,PG-13,Joss Whedon,6/23/1964,Marvel Studios
Your Name,2016,Animation,106,Japanese,PG,Makoto Shinkai,2/9/1973,CoMix Wave Films
A Star Is Born,2018,Romance,136,English,R,Bradley Cooper,1/5/1975,Warner Bros. Pictures