title,year_released,album,genre
The Godfather,1972,The Gofather,Soundtrack
Bang Bang (My Baby Shot Me Down),1966,The Sonny Side of Cher,Folk Rock
Don't Let Me Be Misunderstood,1964,"Broadway, Blues, Ballads",Blues
Apple Blossom,2000,De Stijl,Punk Blues
Misirlou,1993,Tribal Thunder,Surf Rock
1812 Overture,1880,,Classical
Jungle Boogie,1973,Wild and Peaceful,Funk
Imperial Attack,1977,Star Wars,Soundtrack
Princess Leia's Theme,1977,Star Wars,Soundtrack
Goodbye World,2016,,Soundtrack
Black Sheep,2010,Scott Pilgrim vs. the World: Original Motion Picture Soundtrack,Alternative
Reflection,1998,Mulan: An Original Walt Disney Records Soundtrack,Soundtrack
I'll Make a Man Out of You,1998,Mulan: An Original Walt Disney Records Soundtrack,Soundtrack
Kimi no Na wa,2016,Your Name,Soundtrack
Shallow,2018,A Star Is Born,Soundtrack
I'll Never Love Again,2018,A Star Is Born,Soundtrack